"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 14 19:29:18 GMT 2025","Fri Feb 14 19:29:28 GMT 2025","9698","","tests.UiTests","","tests.UiTests","loadingImagesImplicitWaitTest","loadingImagesImplicitWaitTest()",""
"passed","Fri Feb 14 19:29:12 GMT 2025","Fri Feb 14 19:29:14 GMT 2025","2426","","tests.SmokeApiTests","","tests.SmokeApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=null, phone=password, userStatus=0)",""
"passed","Fri Feb 14 19:29:16 GMT 2025","Fri Feb 14 19:29:16 GMT 2025","67","","tests.SmokeApiTests","","tests.SmokeApiTests","createUserControllerTest","createUserControllerTest()",""
"passed","Fri Feb 14 19:29:14 GMT 2025","Fri Feb 14 19:29:15 GMT 2025","75","","tests.SmokeApiTests","","tests.SmokeApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=null, firstName=null, lastName=null, email=null, password=null, phone=null, userStatus=0)",""
"passed","Fri Feb 14 19:29:16 GMT 2025","Fri Feb 14 19:29:16 GMT 2025","70","","tests.SmokeApiTests","","tests.SmokeApiTests","createInvalidUserControllerTest","createInvalidUserControllerTest()",""
"passed","Fri Feb 14 19:29:16 GMT 2025","Fri Feb 14 19:29:18 GMT 2025","2263","","tests.UiPomTests","","tests.UiPomTests","loginPomTest","loginPomTest()",""
"passed","Fri Feb 14 19:29:29 GMT 2025","Fri Feb 14 19:29:37 GMT 2025","8545","","tests.UiTests","","tests.UiTests","loadingImagesExplicitWaitTest","loadingImagesExplicitWaitTest()",""
"passed","Fri Feb 14 19:29:28 GMT 2025","Fri Feb 14 19:29:29 GMT 2025","1001","","tests.UiTests","","tests.UiTests","submitWebFormTest","submitWebFormTest()",""
"passed","Fri Feb 14 19:29:15 GMT 2025","Fri Feb 14 19:29:15 GMT 2025","67","","tests.SmokeApiTests","","tests.SmokeApiTests","simpleTest","simpleTest()",""
"passed","Fri Feb 14 19:29:15 GMT 2025","Fri Feb 14 19:29:16 GMT 2025","903","","tests.SmokeApiTests","","tests.SmokeApiTests","checkUserResponseBody","checkUserResponseBody()",""
